Ward,Neighbourhood Number,Neighbourhood Name,"Less than $30,000","$30,000 to less than $60,000","$60,000 to less than $100,000","$100,000 to less than $125,000","$125,000 to less than $150,000","$150,000 to less than $200,000","$200,000 to less than $250,000","$250,000 or more",No Response
WARD 9,5570,WINDERMERE,37,144,271,137,151,150,74,145,"2,027"
WARD 9,5476,MAGRATH HEIGHTS,28,54,95,75,68,74,56,132,594
WARD 12,6213,SUMMERSIDE,82,332,735,498,355,393,133,130,"1,833"
WARD 6,1150,OLIVER,"1,413","1,611","1,505",537,277,231,91,120,"6,716"
WARD 8,5290,MCKERNAN,114,106,106,75,92,123,107,115,270
WARD 9,5610,HADDOW,49,97,171,129,93,146,72,110,681
WARD 6,3200,GLENORA,51,85,124,64,55,75,45,108,838
WARD 9,5511,TWIN BROOKS,73,198,316,201,151,200,91,105,903
WARD 1,3140,CRESTWOOD,56,91,90,52,26,58,36,103,404
WARD 8,5040,BELGRAVIA,96,74,113,58,59,47,63,102,308
WARD 2,3240,INGLEWOOD,521,536,305,178,188,180,97,98,"1,362"
WARD 9,5230,HENDERSON ESTATES,14,34,61,48,50,50,34,97,226
WARD 1,3330,PARKVIEW,51,116,149,93,65,94,60,95,577
WARD 5,4360,OLESKIW,9,28,63,57,50,60,42,93,688
WARD 5,3270,LAURIER HEIGHTS,35,103,113,88,66,88,62,92,568
WARD 8,5480,STRATHCONA,488,651,664,290,149,147,76,92,"2,748"
WARD 6,3440,WESTMOUNT,233,378,388,172,132,126,84,91,"1,448"
WARD 9,5477,MACTAGGART,26,69,84,46,48,68,34,89,254
WARD 9,5620,HODGSON,48,92,155,91,43,86,45,87,295
WARD 9,5640,TERWILLEGAR TOWNE,52,147,265,175,135,154,73,86,"1,179"
WARD 9,5350,RHATIGAN RIDGE,22,42,114,62,50,75,54,81,617
WARD 6,1090,DOWNTOWN,972,994,"1,093",425,199,198,68,81,"4,660"
WARD 9,5454,RUTHERFORD,130,368,621,334,255,273,99,77,"1,938"
WARD 5,4120,DONSDALE,6,19,34,18,27,44,21,77,282
WARD 9,5340,RAMSAY HEIGHTS,69,198,239,118,86,105,72,77,398
WARD 9,5505,AMBLESIDE,67,196,284,168,124,164,71,66,"1,066"
WARD 8,5200,GARNEAU,"1,044",523,423,132,78,89,33,61,"3,183"
WARD 5,4461,THE HAMPTONS,67,327,695,491,287,309,126,61,"1,640"
WARD 8,6040,BONNIE DOON,256,228,225,115,74,79,40,59,"1,056"
WARD 9,5100,BULYEA HEIGHTS,17,39,81,47,35,57,43,55,816
WARD 10,5210,GRANDVIEW HEIGHTS,9,17,20,28,22,24,25,54,236
WARD 9,5642,SOUTH TERWILLEGAR,95,262,475,249,196,187,71,53,"1,838"
WARD 9,5453,BLACKMUD CREEK,35,92,159,109,82,118,50,52,341
WARD 8,6230,FOREST HEIGHTS,199,240,262,102,61,89,37,52,855
WARD 8,5580,WINDSOR PARK,13,17,46,39,39,33,22,51,222
WARD 9,5090,BROOKSIDE,18,72,54,54,38,52,34,50,332
WARD 10,5540,WESTBROOK ESTATES,17,31,32,12,11,16,18,49,296
WARD 5,4570,WEDGEWOOD HEIGHTS,8,27,38,29,30,44,23,49,254
WARD 5,4720,GLASTONBURY,62,221,404,212,156,134,66,47,"1,163"
WARD 5,4466,CAMERON HEIGHTS,2,10,22,26,31,36,23,46,344
WARD 11,6610,RITCHIE,208,346,378,170,120,88,41,43,654
WARD 5,4610,WESTRIDGE,6,10,40,35,23,33,30,42,266
WARD 6,1210,RIVERDALE,57,113,141,79,56,57,47,41,365
WARD 9,5300,OGILVIE RIDGE,2,12,20,19,15,16,23,40,213
WARD 9,5190,FALCONER HEIGHTS,39,79,88,53,52,53,29,38,378
WARD 9,5457,CALLAGHAN,24,87,174,78,59,57,29,38,794
WARD 9,5130,CARTER CREST,5,30,54,36,30,43,26,37,350
WARD 8,6070,CLOVERDALE,15,25,47,38,36,35,23,37,182
WARD 6,1220,ROSSDALE,29,58,62,26,24,25,17,36,190
WARD 7,2330,HIGHLANDS,72,137,170,108,74,70,36,35,500
WARD 5,4380,ORMSBY PLACE,107,216,246,117,96,97,41,34,946
WARD 10,5260,LANSDOWNE,27,52,66,28,19,37,21,33,235
WARD 8,6550,OTTEWELL,200,314,361,181,135,132,45,33,"1,088"
WARD 10,5020,ASPEN GARDENS,32,69,100,44,45,63,28,32,217
WARD 4,2340,HOLLICK-KENYON,81,255,384,233,125,145,54,32,765
WARD 12,6661,CHARLESWORTH,51,188,340,179,108,107,38,31,826
WARD 12,6390,LARKSPUR,80,253,339,186,94,105,40,30,594
WARD 8,6061,CAPILANO,40,115,126,84,65,65,28,30,527
WARD 12,6370,KINISKI GARDENS,72,238,424,209,121,101,42,30,953
WARD 10,5220,GREENFIELD,57,146,214,125,80,78,44,29,628
WARD 1,4730,SUDER GREENS,31,137,201,122,80,82,38,27,449
WARD 10,5310,PARKALLEN,52,127,147,73,52,47,28,27,500
WARD 9,5080,BRANDER GARDENS,115,129,132,49,46,42,16,27,495
WARD 8,6710,STRATHEARN,250,153,96,54,34,36,16,26,815
WARD 2,3320,OXFORD,24,116,230,138,95,91,24,26,589
WARD 3,3080,CANOSSA,21,92,190,107,91,88,31,25,382
WARD 6,3210,GROVENOR,69,127,140,70,57,46,28,25,376
WARD 1,4471,TRUMPETER AREA,2,20,85,47,47,65,32,25,101
WARD 3,2700,SCHONSEE,91,114,179,96,56,79,31,25,345
WARD 2,3111,GRIESBACH,39,116,167,72,66,77,48,24,"1,145"
WARD 9,5630,LEGER,14,43,73,52,29,49,33,24,471
WARD 9,5462,CHAPPELLE AREA,22,101,266,166,104,108,32,23,820
WARD 9,5458,ALLARD,4,48,165,109,48,69,32,23,560
WARD 10,5030,BEARSPAW,56,103,127,72,46,63,25,23,302
WARD 1,4710,POTTER GREENS,9,51,73,43,46,53,26,23,242
WARD 9,5590,BLACKBURNE,24,83,87,65,34,55,20,22,167
WARD 5,4430,RIO TERRACE,11,44,48,32,22,47,19,22,251
WARD 3,2440,KLARVATTEN,40,123,259,198,171,139,51,22,858
WARD 2,3150,CUMBERLAND,40,128,253,201,167,127,39,21,"1,073"
WARD 3,2600,OZERNA,59,129,166,78,67,65,23,21,747
WARD 10,5320,PLEASANTVIEW,348,332,261,83,46,45,21,21,821
WARD 6,3310,NORTH GLENORA,66,105,143,65,56,58,16,21,273
WARD 10,5070,BLUE QUILL ESTATES,34,83,73,50,36,23,9,21,162
WARD 5,4270,LYMBURN,141,346,418,227,136,115,41,21,682
WARD 12,6662,WALKER,88,503,547,235,121,115,37,20,887
WARD 10,5160,DUGGAN,188,283,283,164,92,74,29,20,555
WARD 3,3190,ELSINORE,17,55,98,40,48,39,10,20,463
WARD 9,5576,KESWICK AREA,2,13,33,24,31,34,20,20,31
WARD 3,2241,EAUX CLAIRES,56,166,222,95,55,45,23,20,570
WARD 4,2521,MCCONACHIE AREA,53,180,325,243,148,145,39,19,766
WARD 5,4390,PATRICIA HEIGHTS,15,47,65,34,23,36,17,19,411
WARD 1,4700,BRECKENRIDGE GREENS,25,93,179,92,58,70,23,19,189
WARD 5,4160,GARIEPY,14,185,74,33,20,28,16,19,348
WARD 9,5451,RICHFORD,13,50,55,27,15,17,16,19,91
WARD 8,5330,QUEEN ALEXANDRA,365,465,427,175,85,72,21,19,"1,261"
WARD 8,6310,HOLYROOD,63,140,161,71,83,62,27,19,906
WARD 10,5060,BLUE QUILL,142,362,218,72,30,40,25,18,"1,034"
WARD 3,2511,MAYLIEWAN,43,90,100,98,63,57,34,18,751
WARD 3,3370,RAPPERSWILL,3,46,127,73,64,50,14,18,337
WARD 12,6790,WILD ROSE,32,198,273,125,100,96,34,18,"1,564"
WARD 5,4551,GRANVILLE,7,28,77,74,63,58,18,17,261
WARD 11,6360,KING EDWARD PARK,133,239,282,104,87,67,26,17,963
WARD 3,2050,BELLE RIVE,62,174,203,87,51,62,20,16,487
WARD 4,2500,MATT BERRY,32,141,237,168,69,84,25,16,470
WARD 11,6280,GREENVIEW,74,147,159,89,43,50,20,16,357
WARD 10,5280,MALMO PLAINS,58,178,163,63,42,46,20,16,644
WARD 4,2280,FRASER,84,157,190,104,53,49,16,15,607
WARD 3,3120,CHAMBERY,2,31,73,57,42,54,29,15,424
WARD 4,2690,RURAL NORTH EAST SOUTH STURGEON,4,9,11,19,22,21,14,15,118
WARD 10,5250,KEHEEWIN,68,144,138,70,33,38,14,15,695
WARD 2,3470,CARLTON,37,147,262,149,103,98,35,15,818
WARD 10,5270,LENDRUM PLACE,19,34,63,45,33,38,15,15,557
WARD 3,2450,LAGO LINDO,53,147,236,115,77,87,25,15,614
WARD 2,3480,HUDSON,21,98,163,63,32,31,4,15,373
WARD 10,5470,STEINHAUER,35,81,95,60,38,33,16,14,403
WARD 5,4110,DECHENE,7,44,76,47,36,33,23,14,312
WARD 3,3040,BEAUMARIS,114,209,182,72,48,47,20,14,"1,253"
WARD 6,1020,BOYLE STREET,826,487,303,87,41,32,10,14,"2,172"
WARD 5,4220,JAMIESON PLACE,26,71,103,78,64,65,17,13,882
WARD 12,6330,JACKSON HEIGHTS,41,120,158,78,56,41,9,13,717
WARD 8,6270,GOLD BAR,83,138,213,94,55,43,23,13,459
WARD 10,5490,SWEET GRASS,42,182,212,58,31,34,10,13,479
WARD 12,6442,SILVER BERRY,40,163,277,202,92,61,19,13,"1,646"
WARD 1,4240,LA PERLE,229,293,282,129,76,64,23,12,845
WARD 5,4420,QUESNELL HEIGHTS,0,1,9,2,8,10,5,12,73
WARD 1,4020,ALDERGROVE,119,266,284,135,72,49,22,12,952
WARD 12,6140,CRAWFORD PLAINS,58,174,282,127,87,56,18,12,613
WARD 12,6443,TAMARACK,103,242,293,129,64,69,28,12,498
WARD 5,4463,RIVERVIEW AREA,0,6,17,10,10,7,15,11,84
WARD 11,6680,SATOO,73,160,228,100,70,39,13,11,531
WARD 6,1180,QUEEN MARY PARK,587,488,294,92,55,43,10,11,"2,367"
WARD 5,4462,EDGEMONT,4,31,71,48,32,47,23,11,271
WARD 1,4487,SECORD,9,357,128,96,59,90,24,11,356
WARD 4,2070,BELMONT,132,263,231,125,68,51,7,11,"1,070"
WARD 9,5452,MACEWAN,69,274,360,187,128,104,37,11,"1,064"
WARD 10,5180,ERMINESKIN,367,531,322,94,60,45,28,11,986
WARD 12,6216,THE ORCHARDS AT ELLERSLIE,6,53,158,89,73,55,23,10,287
WARD 1,4040,BELMEAD,131,231,201,102,65,52,25,10,825
WARD 2,3010,ATHLONE,101,170,203,81,55,46,7,10,475
WARD 8,6350,KENILWORTH,84,226,226,64,43,41,15,9,345
WARD 10,5010,ALLENDALE,66,112,123,59,30,33,11,9,815
WARD 11,6750,TIPASKAN,163,204,184,54,43,18,9,9,324
WARD 4,2110,BRINTNELL,22,60,148,98,63,81,34,9,"1,581"
WARD 7,1070,CROMDALE,168,133,74,21,11,9,11,8,666
WARD 4,2390,KERNOHAN,57,152,173,78,44,38,9,8,614
WARD 3,3180,DUNLUCE,203,317,312,122,69,60,10,8,"1,286"
WARD 9,5577,GLENRIDDING AREA,6,20,70,38,21,26,8,8,316
WARD 7,2060,BELLEVUE,39,58,68,41,24,16,11,8,216
WARD 8,6320,IDYLWYLDE,151,147,129,54,21,19,14,8,391
WARD 4,2030,BANNERMAN,172,239,280,111,43,41,9,7,255
WARD 12,6211,ELLERSLIE,41,148,290,138,71,56,19,7,"1,213"
WARD 8,6240,FULTON PLACE,56,95,111,66,38,47,17,7,501
WARD 2,3090,CARLISLE,133,270,250,87,59,36,9,7,510
WARD 7,2090,BERGMAN,39,86,69,39,26,22,11,7,265
WARD 11,6290,HAZELDEAN,83,202,203,96,81,60,12,7,604
WARD 4,2590,OVERLANDERS,129,207,192,60,38,20,3,7,571
WARD 12,6030,BISSET,74,189,183,62,42,27,5,7,782
WARD 3,2410,KILKENNY,208,321,250,110,72,40,20,7,"1,007"
WARD 8,6730,TERRACE HEIGHTS,111,118,99,42,32,40,15,7,684
WARD 9,5465,HAYS RIDGE AREA,1,0,2,1,5,7,9,7,20
WARD 10,5430,ROYAL GARDENS,121,199,224,68,31,38,19,7,695
WARD 4,2350,HOMESTEADER,126,242,222,81,45,24,14,6,513
WARD 5,4280,LYNNWOOD,70,159,161,58,45,45,15,6,816
WARD 12,6444,LAUREL,27,189,296,139,63,41,14,6,"1,380"
WARD 4,2080,BELVEDERE,343,326,239,74,38,20,10,6,"1,319"
WARD 1,4740,WEBBER GREENS,11,26,71,41,44,42,11,6,432
WARD 11,6300,HILLVIEW,106,199,211,98,49,42,22,6,616
WARD 10,5460,SKYRATTLER,94,222,232,73,32,34,12,6,393
WARD 1,4230,JASPER PARK,104,127,118,27,25,12,6,6,412
WARD 2,3170,DOVERCOURT,61,160,159,87,45,48,15,6,285
WARD 3,3280,LORELEI,166,352,274,89,52,41,10,6,425
WARD 11,6450,MENISA,235,186,175,80,51,40,13,5,140
WARD 4,2530,MCLEOD,85,155,143,70,42,39,6,5,317
WARD 12,6150,DALY GROVE,76,169,189,99,51,35,10,5,541
WARD 12,6770,WEINLOS,28,100,102,42,17,26,6,5,839
WARD 12,6441,MAPLE,6,41,77,37,13,22,10,5,197
WARD 11,6020,AVONMORE,98,148,109,50,27,36,16,5,479
WARD 5,4560,THORNCLIFF,45,96,84,32,27,14,6,5,956
WARD 2,3070,CALDER,239,221,190,70,43,19,7,5,955
WARD 1,4310,MEADOWLARK PARK,124,315,197,114,46,47,10,5,321
WARD 7,2560,NEWTON,137,191,162,59,41,23,4,5,528
WARD 2,3450,WOODCROFT,214,121,107,32,24,29,6,5,642
WARD 3,2260,EVANSDALE,298,460,223,75,44,26,11,5,974
WARD 4,2720,YORK,148,297,271,103,65,42,14,5,510
WARD 1,4060,BRITANNIA YOUNGSTOWN,207,223,190,67,31,17,2,5,"1,475"
WARD 3,3030,BATURYN,33,138,202,101,46,26,7,4,"1,191"
WARD 1,4580,WEST JASPER PLACE,169,309,83,27,22,14,7,4,839
